company,symbol,description
Alphabet Inc.,GOOG,Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View. California. It was created through a restructuring of Google on October 2. 2015.[2] and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders. board members. and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.
Home Depot Inc. Common Stock,HD,The Home Depot. Inc.. commonly known as Home Depot. is the largest home improvement retailer in the United States. supplying tools. construction products. and services. The company is headquartered in incorporated Cobb County. Georgia. with an Atlanta mailing address
HDFC Bank Limited Common Stock,HDB,HDFC Bank Limited is an Indian banking and financial services company headquartered in Mumbai. Maharashtra. It has a base of 104.154 permanent employees as of 30 June 2019. HDFC Bank is India‚Äôs largest private sector bank by assets.[9] It is the largest bank in India by market capitalisation as of March 2020.
International Buisness Machines Corporations,IBM,International Business Machines Corporation (IBM) is an American multinational technology and consulting company headquartered in Armonk. New York. with more than 350.000 employees serving clients in 170 countries.
Johnson & Johnson Common Stock,JNJ,Johnson & Johnson is an American multinational corporation founded in 1886 that develops medical devices. pharmaceutical. and consumer packaged goods. Its common stock is a component of the Dow Jones Industrial Average and the company is ranked No. 37 on the 2018 Fortune 500 list of the largest United States corporations by total revenue. Johnson & Johnson is one of the world's most valuable companies.
Coca-Cola Company Common Stock,KO,The Coca-Cola Company is an American multinational beverage corporation headquartered in Atlanta. Georgia. The Coca-Cola Company has interests in the manufacturing. retailing. and marketing of nonalcoholic beverage concentrates and syrups. The company produces Coca-Cola. invented in 1886 by pharmacist John Stith Pemberton.
L Oreal Paris ADR,LRLCY,L'Or√©al S.A. is a French personal care company headquartered in Clichy. Hauts-de-Seine with a registered office in Paris.It is the world's largest cosmetics company and has developed activities in the field concentrating on hair colour. skin care. sun protection. make-up. perfume. and hair care.
Mastercard Incorporated Common Stock,MA,"Mastercard Incorporated (stylized as MasterCard from 1979 to 2016 and mastercard since 2016) is an American multinational financial services corporation headquartered in the Mastercard International Global Headquarters in Purchase. New York. United States.[3] The Global Operations Headquarters is located in O'Fallon. Missouri. United States. a municipality of St. Charles County. Missouri. Throughout the world. its principal business is to process payments between the banks of merchants and the card-issuing banks or credit unions of the purchasers who use the ""Mastercard"" brand debit. credit and prepaid cards to make purchases."
Mcdonalds Corporation,MCD,"McDonald's Corporation is an American fast food company. founded in 1940 as a restaurant operated by Richard and Maurice McDonald. in San Bernardino. California. United States.McDonald's is the world's largest restaurant chain by revenue, serving over 69 million customers daily in over 100 countries across 37,855 outlets as of 2018"
Microsoft Corporation,MSFT,Microsoft Corporation is an American multinational technology company with headquarters in Redmond. Washington. It develops. manufactures. licenses. supports. and sells computer software. consumer electronics. personal computers. and related services. Its best known software products are the Microsoft Windows line of operating systems. the Microsoft Office suite. and the Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox video game consoles and the Microsoft Surface lineup of touchscreen personal computers. Microsoft ranked No. 21 in the 2020 Fortune 500 rankings of the largest United States corporations by total revenue;[3] it was the world's largest software maker by revenue as of 2016
Morgan Stanley,MS,Morgan Stanley is an American multinational investment bank and financial services company headquartered at 1585 Broadway in the Morgan Stanley Building. Midtown Manhattan. New York City. With offices in more than 42 countries and more than 60.000 employees. the firm's clients include corporations. governments. institutions. and individuals. The original Morgan Stanley. formed by J.P. Morgan & Co. partners Henry Sturgis Morgan (grandson of J.P. Morgan). Harold Stanley. and others. came into existence on September 16. 1935.
Netflix.Inc.,NFLX,Netflix. Inc. is an American over-the-top content platform and production company headquartered in Los Gatos. California. Netflix was founded in 1997 by Reed Hastings and Marc Randolph in Scotts Valley. California. The company's primary business is a subscription-based streaming service offering online streaming from a library of films and television series. including those produced in-house.
Nike.Inc.,NKE,Nike. Inc. is an American multinational corporation that is engaged in the design. development. manufacturing. and worldwide marketing and sales of footwear. apparel. equipment. accessories. and services. The company is headquartered near Beaverton. Oregon. in the Portland metropolitan area. It is the world's largest supplier of athletic shoes and apparel and a major manufacturer of sports equipment. with revenue in excess of US$37.4 billion in its fiscal year 2020
Nestle,NSRGY,Nestl√© S.A. is a Swiss multinational food and drink processing conglomerate corporation headquartered in Vevey. Vaud. Switzerland. It is the largest food company in the world. measured by revenue and other metrics. since 2014. Nestl√©'s products include baby food. medical food. bottled water. breakfast cereals. coffee and tea. confectionery. dairy products. ice cream. frozen food. pet foods. and snacks.
NVIDIA Corporation,NVDA,Nvidia Corporation is an American multinational technology company incorporated in Delaware and based in Santa Clara. California.[2] It designs graphics processing units (GPUs) for the gaming and professional markets. as well as system on a chip units (SoCs) for the mobile computing and automotive market. Nvidia expanded its presence in the gaming industry with its handheld Shield Portable. Shield Tablet. and Shield Android TV and its cloud gaming service GeForce Now.
Oracle Corporation Common Stock,ORCL,Oracle Corporation is an American multinational computer technology corporation headquartered in Redwood Shores. California. The company sells database software and technology. cloud engineered systems. and enterprise software products‚Äîparticularly its own brands of database management systems. In 2019. Oracle was the second-largest software company by revenue and market capitalization.
PepsiCo Inc.,PEP,PepsiCo. Inc. is an American multinational food. snack and beverage corporation headquartered in Harrison. New York. in the hamlet of Purchase. PepsiCo has interests in the manufacturing. marketing. and distribution of grain-based snack foods. beverages. and other products. PepsiCo was formed in 1965 with the merger of the Pepsi-Cola Company and Frito-Lay. Inc.
Pintrest.Inc.,PINS,"Pinterest is an American image sharing and social media service designed to enable saving and discovery of information (specifically ""ideas"") on the World Wide Web using images and. on a smaller scale. animated GIFs and videos. in the form of pinboards.The site was created by Ben Silbermann. Paul Sciarra. and Evan Sharp and had over 400 million monthly active users as of August 2020.It is operated by Pinterest. Inc.. based in San Francisco."
PayPal Holdings Inc Common Stock,PYPL,PayPal Holdings. Inc. is an American company operating a worldwide online payments system that supports online money transfers and serves as an electronic alternative to traditional paper methods like checks and money orders. The company operates as a payment processor for online vendors. auction sites. and many other commercial users. for which it charges a fee in exchange for benefits such as one-click transactions and password memory. Established in 1998.
QUALCOMM Incorporated,QCOM,Qualcomm is an American public multinational corporation headquartered in San Diego. California. and incorporated in Delaware.[1] It creates intellectual property. semiconductors. software. and services related to wireless technology. It owns patents critical to the CDMA2000. TD-SCDMA and WCDMA mobile communications standards. Qualcomm was established in 1985 by Irwin M. Jacobs and six other co-founders.
Starbucks Corporation,SBUX,Starbucks Corporation is an American multinational chain of coffeehouses and roastery reserves headquartered in Seattle. Washington. As the world's largest coffeehouse chain. Starbucks is seen to be the main representation of the United States' second wave of coffee culture. As of early 2020. the company operates over 30.000 locations worldwide in more than 70 countries. Headquartered in the Starbucks Center. the company was founded in 1971 by Jerry Baldwin. Zev Siegl. and Gordon Bowker at Seattle's Pike Place Market.
Sony Corporation Common Stock,SNE,Sony Corporation is a Japanese multinational conglomerate corporation headquartered in K≈çnan. Minato. Tokyo. The company operates as one of the world's largest manufacturers of consumer and professional electronic products. the largest video game console company. the second largest video game publisher. the second largest record company. as well as one of the most comprehensive media companies.
AT&T Inc.,T,AT&T Inc. is an American multinational conglomerate holding company. Delaware-registered but headquartered at Whitacre Tower in Downtown Dallas. Texas.It is the world's largest telecommunications company. the largest provider of mobile telephone services. and the largest provider of fixed telephone services in the United States through AT&T Communications.
Tencent Holdings Ltd,TCEHY,Tencent Holdings Ltd. also known as Tencent. is a Chinese multinational technology conglomerate holding company. Founded in 1998. its subsidiaries globally market various Internet-related services and products. including in entertainment. artificial intelligence. and other technology.Its twin-skyscraper headquarters. Tencent Seafront Towers (also known as Tencent Binhai Mansion) are based in the Nanshan District of Shenzhen.
Target Corporation,TGT,Target Corporation is an American retail corporation. It is the 8th-largest retailer in the United States. and is a component of the S&P 500 Index. Target established itself as the discount division of the Dayton's Company of Minneapolis. Minnesota.
Tesla.Inc.,TSLA,Tesla. Inc. (formerly Tesla Motors. Inc.) is an American electric vehicle and clean energy company based in Palo Alto. California. Tesla's current products include electric cars (the Model S. Model 3. Model X. and Model Y). battery energy storage from home to grid scale (the Powerwall. Powerpack. and Megapack). solar panels and solar roof tiles. and related products and services. Founded in July 2003 by engineers Martin Eberhard and Marc Tarpenning as Tesla Motors. the company‚Äôs name is a tribute to inventor and electrical engineer Nikola Tesla. current CEO is Elon Musk.
Uber Technologies.Inc.,UBER,Uber Technologies. Inc.. commonly known as Uber. is an American company that offers vehicles for hire. food delivery (Uber Eats). package delivery. couriers. freight transportation. and. through a partnership with Lime. electric bicycle and motorized scooter rental. The company is based in San Francisco and has operations in over 900 metropolitan areas worldwide. It is one of the largest providers in the gig economy and is also a pioneer in the development of self-driving cars.
Visa Inc.,V,Visa Inc. (also known as Visa. stylized as VISA) is an American multinational financial services corporation headquartered in Foster City. California. United States. It facilitates electronic funds transfers throughout the world. most commonly through Visa-branded credit cards. debit cards and prepaid cards. Visa is the world's second-largest card payment organization.
Verizon Communications Inc Common Stock,VZ,Verizon Communications Inc. is an American multinational telecommunications conglomerate and a corporate component of the Dow Jones Industrial Average. The company is based at 1095 Avenue of the Americas in Midtown Manhattan. New York City. but is incorporated in Delaware.
Walmart Inc Common Stock,WMT,Walmart Inc. is an American multinational retail corporation that operates a chain of hypermarkets. discount department stores. and grocery stores. headquartered in Bentonville. Arkansas.[10] The company was founded by Sam Walton in 1962 and incorporated on October 31. 1969. It also owns and operates Sam's Club retail warehouses.
Best Buy Co.. Inc.,BBY,Best Buy Co.. Inc. is an American multinational consumer electronics retailer headquartered in Richfield. Minnesota. It was originally founded by Richard M. Schulze and James Wheeler in 1966 as an audio specialty store called Sound of Music. In 1983. it was re-branded under its current name with an emphasis placed on consumer electronics. Best Buy operates internationally in Canada and Mexico. and formerly operated in China until February 2011.
GameStop Corp.,GME,"GameStop Corp.†is an American†video games, consumer electronics, and gaming merchandise retailer.[2]†The company is headquartered in†Grapevine†(a suburb of†Dallas),†Texas,†United States, and is the world's largest video game retailer, operating 5,509 retail stores throughout the United States, Canada, Australia, New Zealand, and†Europe†as of February 1, 2020.†The company was founded in†Dallas†in 1984 as Babbage's, and took on its current name in 1999.†"
